locationID;placeType;ReviewID;absoluteUrl;text;publishedDate;rating
2623636;ATTRACTION;625094922;https://www.tripadvisor.com/ShowUserReviews-g187497-d2623636-r625094922-Mercat_de_la_Concepcio_Barcelona-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2018-10-15;4
2623636;ATTRACTION;617893845;https://www.tripadvisor.com/ShowUserReviews-g187497-d2623636-r617893845-Mercat_de_la_Concepcio_Barcelona-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2018-09-19;5
2623636;ATTRACTION;540925493;https://www.tripadvisor.com/ShowUserReviews-g187497-d2623636-r540925493-Mercat_de_la_Concepcio_Barcelona-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2017-11-14;5
2623636;ATTRACTION;538104356;https://www.tripadvisor.com/ShowUserReviews-g187497-d2623636-r538104356-Mercat_de_la_Concepcio_Barcelona-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2017-11-03;5
2623636;ATTRACTION;524612431;https://www.tripadvisor.com/ShowUserReviews-g187497-d2623636-r524612431-Mercat_de_la_Concepcio_Barcelona-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2017-09-15;4
2623636;ATTRACTION;524359619;https://www.tripadvisor.com/ShowUserReviews-g187497-d2623636-r524359619-Mercat_de_la_Concepcio_Barcelona-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2017-09-14;5
2623636;ATTRACTION;524248553;https://www.tripadvisor.com/ShowUserReviews-g187497-d2623636-r524248553-Mercat_de_la_Concepcio_Barcelona-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2017-09-13;4
2623636;ATTRACTION;524184272;https://www.tripadvisor.com/ShowUserReviews-g187497-d2623636-r524184272-Mercat_de_la_Concepcio_Barcelona-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2017-09-13;5
2623636;ATTRACTION;524165212;https://www.tripadvisor.com/ShowUserReviews-g187497-d2623636-r524165212-Mercat_de_la_Concepcio_Barcelona-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2017-09-13;4
2623636;ATTRACTION;508139249;https://www.tripadvisor.com/ShowUserReviews-g187497-d2623636-r508139249-Mercat_de_la_Concepcio_Barcelona-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2017-08-02;5
2623636;ATTRACTION;493674002;https://www.tripadvisor.com/ShowUserReviews-g187497-d2623636-r493674002-Mercat_de_la_Concepcio_Barcelona-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2017-06-17;5
2623636;ATTRACTION;490296126;https://www.tripadvisor.com/ShowUserReviews-g187497-d2623636-r490296126-Mercat_de_la_Concepcio_Barcelona-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2017-06-04;5
2623636;ATTRACTION;489943442;https://www.tripadvisor.com/ShowUserReviews-g187497-d2623636-r489943442-Mercat_de_la_Concepcio_Barcelona-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2017-06-02;5
2623636;ATTRACTION;471030375;https://www.tripadvisor.com/ShowUserReviews-g187497-d2623636-r471030375-Mercat_de_la_Concepcio_Barcelona-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2017-03-29;4
2623636;ATTRACTION;470479029;https://www.tripadvisor.com/ShowUserReviews-g187497-d2623636-r470479029-Mercat_de_la_Concepcio_Barcelona-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2017-03-27;5
2623636;ATTRACTION;469115104;https://www.tripadvisor.com/ShowUserReviews-g187497-d2623636-r469115104-Mercat_de_la_Concepcio_Barcelona-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2017-03-21;5
2623636;ATTRACTION;464960007;https://www.tripadvisor.com/ShowUserReviews-g187497-d2623636-r464960007-Mercat_de_la_Concepcio_Barcelona-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2017-03-06;4
2623636;ATTRACTION;435118162;https://www.tripadvisor.com/ShowUserReviews-g187497-d2623636-r435118162-Mercat_de_la_Concepcio_Barcelona-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2016-11-06;5
