"location__name","location__url","location__locationId","totalReviews","avgReviews","minTicketPriceInfo","minTicketPriceInfo__price","minTicketPriceInfo__priceCurrency","ranking__value"
"La Maquinista","https://www.tripadvisor.com/Attraction_Review-g187497-d2067434-Reviews-La_Maquinista-Barcelona_Catalonia.html","2067434","573","4.5","","25.899999618530273","EUR","72"
"Museu del Modernisme","https://www.tripadvisor.com/Attraction_Review-g187497-d1893220-Reviews-Museu_del_Modernisme-Barcelona_Catalonia.html","1893220","284","4.5","null","","","49"
"L’Aquarium de Barcelona","https://www.tripadvisor.com/Attraction_Review-g187497-d195124-Reviews-L_Aquarium_de_Barcelona-Barcelona_Catalonia.html","195124","7252","3.5","","21.760000228881836","EUR","153"
"El Poblenou","https://www.tripadvisor.com/Attraction_Review-g187497-d6453867-Reviews-El_Poblenou-Barcelona_Catalonia.html","6453867","236","4.5","null","","","50"
"Diagonal Mar Centro Comercial","https://www.tripadvisor.com/Attraction_Review-g187497-d4106898-Reviews-Diagonal_Mar_Centro_Comercial-Barcelona_Catalonia.html","4106898","657","4.0","null","","","81"
"El Born Centre de Cultura i Memoria","https://www.tripadvisor.com/Attraction_Review-g187497-d6417067-Reviews-El_Born_Centre_de_Cultura_i_Memoria-Barcelona_Catalonia.html","6417067","696","4.0","null","","","74"
"Pont del Bisbe","https://www.tripadvisor.com/Attraction_Review-g187497-d10592746-Reviews-Pont_del_Bisbe-Barcelona_Catalonia.html","10592746","199","4.5","null","","","63"
"Placa Sant Felip Neri","https://www.tripadvisor.com/Attraction_Review-g187497-d592217-Reviews-Placa_Sant_Felip_Neri-Barcelona_Catalonia.html","592217","1248","4.5","null","","","28"
"Casa Lleo i Morera","https://www.tripadvisor.com/Attraction_Review-g187497-d244195-Reviews-Casa_Lleo_i_Morera-Barcelona_Catalonia.html","244195","869","4.5","null","","","42"
"Exposición Human Bodies. Anatomia de la vida.","https://www.tripadvisor.com/Attraction_Review-g187497-d15056638-Reviews-Exposicion_Human_Bodies_Anatomia_de_la_vida-Barcelona_Catalonia.html","15056638","214","4.5","null","","","51"
"Cementerio de Montjuic","https://www.tripadvisor.com/Attraction_Review-g187497-d4945354-Reviews-Cementerio_de_Montjuic-Barcelona_Catalonia.html","4945354","160","4.5","null","","","34"
"Bogatell Beach","https://www.tripadvisor.com/Attraction_Review-g187497-d7052313-Reviews-Bogatell_Beach-Barcelona_Catalonia.html","7052313","373","4.5","null","","","69"
"Santa Anna Church","https://www.tripadvisor.com/Attraction_Review-g187497-d2272433-Reviews-Santa_Anna_Church-Barcelona_Catalonia.html","2272433","208","4.5","null","","","44"
"Mercat De Sant Antoni","https://www.tripadvisor.com/Attraction_Review-g187497-d4660265-Reviews-Mercat_De_Sant_Antoni-Barcelona_Catalonia.html","4660265","503","4.0","null","","","78"
"Frederic Mares Museum (Museu Frederic Mares)","https://www.tripadvisor.com/Attraction_Review-g187497-d244199-Reviews-Frederic_Mares_Museum_Museu_Frederic_Mares-Barcelona_Catalonia.html","244199","367","4.0","null","","","58"
"Mercado del Ninot","https://www.tripadvisor.com/Attraction_Review-g187497-d8564136-Reviews-Mercado_del_Ninot-Barcelona_Catalonia.html","8564136","166","4.5","null","","","54"
"Glories","https://www.tripadvisor.com/Attraction_Review-g187497-d240755-Reviews-Glories-Barcelona_Catalonia.html","240755","265","4.0","null","","","121"
"Port Olimpic","https://www.tripadvisor.com/Attraction_Review-g187497-d4469233-Reviews-Port_Olimpic-Barcelona_Catalonia.html","4469233","363","4.0","null","","","87"
"Cat, Fernando Botero","https://www.tripadvisor.com/Attraction_Review-g187497-d7132622-Reviews-Cat_Fernando_Botero-Barcelona_Catalonia.html","7132622","335","4.0","null","","","74"
